time,x,y,z,roll,pitch,yaw,vx,vy,vz,ax,ay,az
2.3200,30.0700,-15.0350,2530.1969,0.000000,0.018241,-0.006080,-7.8304,3.9152,-204.9213,0.6614,-0.3307,-1.8388
2.3400,29.9136,-14.9568,2526.0977,0.000000,0.018181,-0.006060,-7.8172,3.9086,-204.9581,0.6614,-0.3307,-1.8322
2.3600,29.7576,-14.8788,2521.9978,0.000000,0.018120,-0.006040,-7.8039,3.9020,-204.9947,0.6614,-0.3307,-1.8255
2.3800,29.6018,-14.8009,2517.8972,0.000000,0.018060,-0.006020,-7.7907,3.8954,-205.0313,0.6613,-0.3307,-1.8188
2.4000,29.4462,-14.7231,2513.7959,0.000000,0.018000,-0.006000,-7.7775,3.8887,-205.0676,0.6613,-0.3307,-1.8121
2.4200,29.2909,-14.6455,2509.6938,0.000000,0.017940,-0.005980,-7.7643,3.8821,-205.1039,0.6613,-0.3307,-1.8055
2.4400,29.1359,-14.5679,2505.5910,0.000000,0.017880,-0.005960,-7.7510,3.8755,-205.1400,0.6613,-0.3306,-1.7988
2.4600,28.9811,-14.4906,2501.4875,0.000000,0.017821,-0.005940,-7.7378,3.8689,-205.1760,0.6613,-0.3306,-1.7922
2.4800,28.8267,-14.4133,2497.3832,0.000000,0.017761,-0.005920,-7.7246,3.8623,-205.2118,0.3021,-0.1510,-1.7855
2.5000,28.6723,-14.3361,2493.2783,0.006040,0.027721,-0.005224,-7.7185,3.8593,-205.2475,0.3920,-0.1960,-0.9031
2.5200,28.5181,-14.2590,2489.1730,0.011305,0.036380,-0.004609,-7.7107,3.8554,-205.2656,0.4821,-0.2410,-0.0012
2.5400,28.3640,-14.1820,2485.0677,0.015891,0.043901,-0.004067,-7.7011,3.8505,-205.2656,0.5722,-0.2861,0.9181
2.5600,28.2103,-14.1051,2480.9627,0.019880,0.050426,-0.003589,-7.6896,3.8448,-205.2472,0.6621,-0.3311,1.8522
2.5800,28.0567,-14.0284,2476.8585,0.023349,0.056080,-0.003166,-7.6764,3.8382,-205.2102,0.7519,-0.3760,2.7988
2.6000,27.9035,-13.9517,2472.7554,0.026361,0.060974,-0.002794,-7.6613,3.8307,-205.1542,0.8415,-0.4207,3.7555
2.6200,27.7506,-13.8753,2468.6538,0.028975,0.065204,-0.002465,-7.6445,3.8223,-205.0791,0.9306,-0.4653,4.7197
2.6400,27.5981,-13.7990,2464.5542,0.031241,0.068856,-0.002175,-7.6259,3.8129,-204.9847,1.0193,-0.5096,5.6890
2.6600,27.4460,-13.7230,2460.4567,0.033203,0.072005,-0.001919,-7.6055,3.8028,-204.8709,1.1074,-0.5537,6.6609
2.6800,27.2943,-13.6472,2456.3620,0.034901,0.074716,-0.001693,-7.5834,3.7917,-204.7377,1.1949,-0.5975,7.6328
2.7000,27.1431,-13.5716,2452.2703,0.036368,0.077047,-0.001494,-7.5595,3.7797,-204.5851,1.2816,-0.6408,8.6023
2.7200,26.9924,-13.4962,2448.1820,0.037635,0.079050,-0.001318,-7.5338,3.7669,-204.4130,1.3675,-0.6838,9.5670
2.7400,26.8423,-13.4212,2444.0976,0.038729,0.080768,-0.001163,-7.5065,3.7532,-204.2217,1.4525,-0.7263,10.5243
2.7600,26.6928,-13.3464,2440.0174,0.039672,0.082241,-0.001026,-7.4774,3.7387,-204.0112,1.5365,-0.7683,11.4720
2.7800,26.5438,-13.2719,2435.9417,0.040485,0.083503,-0.000906,-7.4467,3.7233,-203.7817,1.6194,-0.8097,12.4077
2.8000,26.3955,-13.1978,2431.8711,0.041187,0.084585,-0.000799,-7.4143,3.7072,-203.5336,1.7011,-0.8505,13.3291
2.8200,26.2479,-13.1240,2427.8057,0.041793,0.085513,-0.000705,-7.3803,3.6901,-203.2670,1.7815,-0.8908,14.2341
2.8400,26.1011,-13.0505,2423.7461,0.042317,0.086311,-0.000622,-7.3447,3.6723,-202.9823,1.8606,-0.9303,15.1205
2.8600,25.9549,-12.9775,2419.6925,0.042771,0.086999,-0.000549,-7.3074,3.6537,-202.6799,1.9383,-0.9691,15.9864
2.8800,25.8095,-12.9048,2415.6453,0.043165,0.087594,-0.000484,-7.2687,3.6343,-202.3602,2.0145,-1.0072,16.8298
2.9000,25.6650,-12.8325,2411.6048,0.043511,0.088112,-0.000427,-7.2284,3.6142,-202.0236,2.0891,-1.0446,17.6490
2.9200,25.5212,-12.7606,2407.5714,0.043814,0.088568,-0.000377,-7.1866,3.5933,-201.6706,2.1621,-1.0811,18.4421
2.9400,25.3784,-12.6892,2403.5453,0.044084,0.088974,-0.000333,-7.1434,3.5717,-201.3018,2.2335,-1.1167,19.2077
2.9600,25.2364,-12.6182,2399.5270,0.044325,0.089339,-0.000294,-7.0987,3.5493,-200.9176,2.3031,-1.1515,19.9443
2.9800,25.0953,-12.5477,2395.5166,0.044544,0.089673,-0.000259,-7.0526,3.5263,-200.5187,2.3709,-1.1854,20.6505
3.0000,24.9552,-12.4776,2391.5145,0.044746,0.089984,-0.000229,-7.0052,3.5026,-200.1057,2.3535,-1.1768,20.4253
